datetime,AQI
2025-07-01 00:00:00,85
2025-07-01 01:00:00,90
2025-07-01 02:00:00,92
2025-07-01 03:00:00,88
2025-07-01 04:00:00,80
2025-07-01 05:00:00,78
2025-07-01 06:00:00,75
2025-07-01 07:00:00,70
2025-07-01 08:00:00,95
2025-07-01 09:00:00,110
2025-07-01 10:00:00,120
2025-07-01 11:00:00,135
2025-07-01 12:00:00,140
2025-07-01 13:00:00,138
2025-07-01 14:00:00,130
2025-07-01 15:00:00,120
2025-07-01 16:00:00,110
2025-07-01 17:00:00,108
2025-07-01 18:00:00,115
2025-07-01 19:00:00,125
2025-07-01 20:00:00,135
2025-07-01 21:00:00,142
2025-07-01 22:00:00,138
2025-07-01 23:00:00,120
2025-07-02 00:00:00,115
2025-07-02 01:00:00,110
2025-07-02 02:00:00,100
2025-07-02 03:00:00,95
2025-07-02 04:00:00,90
2025-07-02 05:00:00,80
2025-07-02 06:00:00,75
2025-07-02 07:00:00,72
2025-07-02 08:00:00,85
2025-07-02 09:00:00,100
2025-07-02 10:00:00,120
2025-07-02 11:00:00,125
2025-07-02 12:00:00,130
2025-07-02 13:00:00,138
2025-07-02 14:00:00,142
2025-07-02 15:00:00,145
2025-07-02 16:00:00,140
2025-07-02 17:00:00,135
2025-07-02 18:00:00,130
2025-07-02 19:00:00,128
2025-07-02 20:00:00,122
2025-07-02 21:00:00,118
2025-07-02 22:00:00,110
2025-07-02 23:00:00,105
